,name,ratings,comments,reviews
0,"<p class=""_2sc7ZR _2V5EHH"">Chhavi Kaushik</p>",4.1,"<p class=""_2-N8zT"">Very Good</p>","<div><div class="""">Best watch in this price <br/>Premium design<br/>Good Quality</div><span class=""_1H-bmy""><span>READ MORE</span></span></div>"
1,"<p class=""_2sc7ZR _2V5EHH"">Abhishek  Joshi</p>",4.1,"<p class=""_2-N8zT"">Pretty good</p>","<div><div class="""">Best watch in this price <br/>Premium design<br/>Good Quality</div><span class=""_1H-bmy""><span>READ MORE</span></span></div>"
2,"<p class=""_2sc7ZR _2V5EHH"">Saad Pathan</p>",4.1,"<p class=""_2-N8zT"">Really Nice</p>","<div><div class="""">Best watch in this price <br/>Premium design<br/>Good Quality</div><span class=""_1H-bmy""><span>READ MORE</span></span></div>"
3,"<p class=""_2sc7ZR _2V5EHH"">Hardik Raj</p>",4.1,"<p class=""_2-N8zT"">Awesome</p>","<div><div class="""">Best watch in this price <br/>Premium design<br/>Good Quality</div><span class=""_1H-bmy""><span>READ MORE</span></span></div>"
4,"<p class=""_2sc7ZR _2V5EHH"">Flipkart Customer</p>",4.1,"<p class=""_2-N8zT"">Highly recommended</p>","<div><div class="""">Best watch in this price <br/>Premium design<br/>Good Quality</div><span class=""_1H-bmy""><span>READ MORE</span></span></div>"
5,"<p class=""_2sc7ZR _2V5EHH"">Sameer  Arab </p>",4.1,"<p class=""_2-N8zT"">Must buy!</p>","<div><div class="""">Best watch in this price <br/>Premium design<br/>Good Quality</div><span class=""_1H-bmy""><span>READ MORE</span></span></div>"
6,"<p class=""_2sc7ZR _2V5EHH"">Vishnu Palla</p>",4.1,"<p class=""_2-N8zT"">Unsatisfactory</p>","<div><div class="""">Best watch in this price <br/>Premium design<br/>Good Quality</div><span class=""_1H-bmy""><span>READ MORE</span></span></div>"
7,"<p class=""_2sc7ZR _2V5EHH"">nitesh malik</p>",4.1,"<p class=""_2-N8zT"">Must buy!</p>","<div><div class="""">Best watch in this price <br/>Premium design<br/>Good Quality</div><span class=""_1H-bmy""><span>READ MORE</span></span></div>"
8,"<p class=""_2sc7ZR _2V5EHH"">Flipkart Customer</p>",4.1,"<p class=""_2-N8zT"">Value-for-money</p>","<div><div class="""">Best watch in this price <br/>Premium design<br/>Good Quality</div><span class=""_1H-bmy""><span>READ MORE</span></span></div>"
9,"<p class=""_2sc7ZR _2V5EHH"">Abhishek Singh</p>",4.1,"<p class=""_2-N8zT"">Simply awesome</p>","<div><div class="""">Best watch in this price <br/>Premium design<br/>Good Quality</div><span class=""_1H-bmy""><span>READ MORE</span></span></div>"
